文字	编码	拆分	分类	权重
𨹶	TeGsiGsiGsiVe	阝厶厶厶二	ExtB	100
𥕃	ToGsiGsiGsiWu	石厶厶厶灬	ExtB	100
𡿔	TsGaGaGaYs	山田田田糸	ExtB	100
𡼊	TsGsiGsiGsiYs	山厶厶厶糸	ExtB	100
𡿜	TsGaGaGaYs	山田田田糸	ExtB	100
𥗼	ToGaGaGaYs	石田田田糸	ExtB	100
𠫁	TcGwGwMuBo	厂王王木日	ExtB	100
廮	TaGbGbNv	广貝貝女	CJK	9000001
巊	TsGbGbNv	山貝貝女	CJK	9000001
𡾸	TsGbGbNv	山貝貝女	ExtB	100
𪩎	TsGbGbNv	山贝贝女	ExtC	100
𡓫	TuGbGbNv	土貝貝女	ExtB	100
隈	TeGaHiYi	阝田一	CJK	9790174
𡻂	TsGwHiBa	山王一白	ExtB	100
𠳌	TuGsiHo	土厶可	ExtB	100
𠬃	TuGsiHp	土厶甫	ExtB	100
嵔	TsGaHiYi	山田一	CJK	9000001
𢉝	TaGaHiYi	广田一	ExtB	100
碨	ToGaHiYi	石田一	CJK	9000008
㟪	TsGaHiYi	山田一	ExtA	100
㙗	TuGaHiYi	土田一	ExtA	100
𧮹	TvGyHiZ	谷由一ㄅ	ExtB	100
𠬇	TuGsiIoWi	土厶小	ExtB	100
埃	TuGsiJsi	土厶矢	CJK	9990648
廁	TaGbJd	广貝刂	CJK	9350074
厠	TcGbJd	厂貝刂	CJK	9904732
厕	TcGbJd	厂贝刂	CJK	9940786
崱	TsGbJd	山貝刂	CJK	9875330
𡺢	TsGbJd	山貝刂	ExtB	100
刧	TuGsiJd	土厶刀	CJK	9000001
刼	TuGsiJdD	土厶刀丶	CJK	9722662
刦	TuGsiJd	土厶刂	CJK	9000001
𡍫	TuGbJd	土貝刂	ExtB	100
𢭋	TuGsiJdFs	土厶刀手	ExtB	100
𪣨	TuGaJg	土田干	ExtC	100
𣘂	TuGsiJsiMu	土厶矢木	ExtB	100
𢈟	TaGsiJsi	广厶矢	ExtB	100
𥒲	ToGsiJsi	石厶矢	ExtB	100
鼁	TuGsiKm	土厶黽	CJK	9000004
𡌺	TuGsiKc	土厶虫	ExtB	100
𪚸	TuGsiKg	土厶龟	ExtB	100
䖔	TuGsiKhu	土厶虎	ExtA	100
𫚽	TsGrKi	山壬鳥	ExtC	100
𫛃	TsGvKi	山玉鳥	ExtC	100
𩿹	TuGsiKi	土厶鳥	ExtB	100
𩿟	TuGsiKi	土厶鳥	ExtB	100
𤙏	TuGsiKu	土厶牛	ExtB	100
庭	TaGrL	广壬廴	CJK	9976410
隅	TeGaLa	阝田⽱	CJK	9973896
庽	TaGaLa	广田⽱	CJK	9000001
𥔘	ToGaLa	石田⽱	ExtB	100
嵎	TsGaLa	山田⽱	CJK	9861478
𡺥	TsGaLa	山田⽱	ExtB	100
堣	TuGaLa	土田⽱	CJK	9958034
𠩢	TcGrL	厂壬廴	ExtB	100
𡿅	TsGaLaEye	山田⽱頁	ExtB	100
𫑓	TdGaLOL	田夂口辶	ExtC	100
𨓏	TsGwL	山王辶	ExtB	100
𨓒	TsGrL	山辶	ExtB	100
迲	TuGsiL	土厶辶	CJK	9000008
𡋺	TuGrL	土壬廴	ExtB	100
堁	TuGaMu	土田木	CJK	9000001
𨺁	TeGaMu	阝田木	ExtB	100
䂺	ToGaMu	石田木	ExtA	100
𡸖	TsGaMu	山田木	ExtB	100
𡋠	TuGsiMu	土厶木	ExtB	100
碜	ToGsiNrY	石厶大彡	CJK	9872964
𢊹	TaGsiNrGb	广厶大貝	ExtB	100
㟥	TsGsiNrY	山厶大彡	ExtA	100
坮	TuGsiO	土厶口	CJK	9360078
𠝛	TuGsiOJd	土厶口刂	ExtB	100
𪿘	ToGsiO	石厶口	ExtC	100
𡓐	TuGwOOOO	土王口口口口	ExtB	100
𡾙	TsGwOOOO	山王口口口口	ExtB	100
唟	TuGsiOUbi	土厶口匕	CJK	100
𫞱	TuGsiOUm	土厶口皿	ExtD	100
庳	TaGaPCi	广田丿十	兼容增补	100
𠩶	TcGaPCi	厂田丿十	ExtB	100
𥓓	ToGaPCi	石田丿十	ExtB	100
𡌨	TuGaPCi	土田丿十	ExtB	100
𠩯	TcGsiPGs	厂厶丿甲	ExtB	100
𠫳	TuGsiPx	土厶及	ExtB	100
崽	TsGaQi	山田心	CJK	9925864
𨺯	TeGaQi	阝田心	ExtB	100
堺	TuGaRnJ	土田人	CJK	9739814
𢇦	TaGr	广壬	ExtB	100
阭	TeGsiRe	阝厶儿	CJK	9000001
𢇰	TaGsiRe	广厶儿	ExtB	100
䦾	TdGsiRe	厶儿	ExtA	100
𥐸	ToGsiRe	石厶儿	ExtB	100
𪣁	TuGsiRe	土厶儿	ExtC	100
𨺬	TeGaRnJ	阝田人	ExtB	100
𥔅	ToGaRnJ	石田人	ExtB	100
𨻅	TeGsiReLTs	阝厶儿夊山	ExtB	100
𡍵	TeGsiReLTu	阝厶儿夊土	ExtB	100
岬	TsGs	山甲	CJK	9954260
広	TaGsi	广厶	CJK	9000001
庘	TaGs	广甲	CJK	9854160
㕅	TcGs	厂甲	ExtA	100
𨸺	TeGs	阝甲	ExtB	100
𥑐	ToGs	石甲	ExtB	100
𡊠	TuGs	土甲	ExtB	100
𠫥	TvGsi	厶	ExtB	100
埋	TuGaTu	土田土	CJK	9992996
𪠢	TuGsiTaBv	土厶广黄	ExtC	100
𨚫	TuGsiTe	土厶阝	ExtB	100
𠡺	TuGsiTeFi	土厶阝力	ExtB	100
𠞗	TuGsiTuGsiJd	土厶土厶刂	ExtB	100
𠬑	TuGsiTuGsiTuGsi	土厶土厶土厶	ExtB	100
𥂊	TuGsiTuGsiUm	土厶土厶皿	ExtB	100
𡕮	TuGsiTuReL	土厶土儿夊	ExtB	100
䣑	TcGaTuTe	厂田土阝	ExtA	100
厘	TcGaTu	厂田土	CJK	9972228
㢆	TaGaTu	广田土	ExtA	100
䧉	TeGaTu	阝田土	ExtA	100
𥓄	ToGaTu	石田土	ExtB	100
廛	TaGaTuVbTu	广田土八土	CJK	9807520
𪇮	TaGaTuVbTuKi	广田土八土鳥	ExtB	100
鄽	TaGaTuVbTuTe	广田土八土阝	CJK	9000025
𨞬	TcGaTuVbTuTe	厂田土八土阝	ExtB	100
𠪨	TcGaTuVbTu	厂田土八土	ExtB	100
盍	TuGsiUm	土厶皿	CJK	9858380
𣣹	TuGsiUmEq	土厶皿欠	ExtB	100
䫦	TuGsiUmEye	土厶皿頁	ExtA	100
𥂇	TuGsiUmHkZ	土厶皿匚コ	ExtB	100
𨺮	TeGsiUm	阝厶麦	ExtB	100
𫇤	TuGsiUmRKb	土厶皿⺈巴	ExtC	100
𨜴	TuGsiUmTe	土厶皿阝	ExtB	100
𢾩	TuGsiUmXp	土厶皿攴	ExtB	100
峻	TsGsiVbL	山厶八夊	CJK	9964764
埈	TuGsiVbL	土厶八夊	CJK	9000001
𢈡	TaGsiVbL	广厶八夊	ExtB	100
陖	TeGsiVbL	阝厶八夊	CJK	9000001
砡	ToGv	石玉	CJK	9000001
𨻞	TeGaVbO	阝田八口	ExtB	100
𡊩	TuGv	土玉	ExtB	100
𠫴	TuGsiWiP	土厶小丿	ExtB	100
𡉠	TuGw	土王	ExtB	100
𤳗	TuGsiXmGa	土厶釆田	ExtB	100
𤳛	TuGsiXmGa	土厶釆田	ExtB	100
𢽃	TsGwXp	山王攴	ExtB	100
𡏯	TuGbXp	土貝攵	ExtB	100
𠬉	TuGsiXzXv	土厶爫	ExtB	100
岫	TsGy	山由	CJK	9944648
庙	TaGy	广由	CJK	9996134
𫔼	TeGy	阝由	ExtC	100
𠬕	TuGsiYiHp	土厶衤甫	ExtB	100
𠬖	TuGsiYiHp	土厶衤甫	ExtB	100
𡋡	TuGsiYi	土厶	ExtB	100
𥑤	ToGy	石由	ExtB	100
磥	ToGaYs	石田糸	CJK	9841514
峀	TsGy	山由	CJK	9000001
峀	TsGy	山由	兼容增补	100
𨻽	TeGaYs	阝田糸	ExtB	100
𡻱	TsGaYs	山田糸	ExtB	100
𡻭	TsGaYs	山田糸	ExtB	100
𡏱	TuGaYs	土田糸	ExtB	100
𡊡	TuGy	土由	ExtB	100
䜬	TvGy	谷由	ExtA	100
却	TuGsiZi	土厶卩	CJK	9999828
𪢳	TuGsiZ	土厶乛	ExtC	100
叝	TuGsiZiXy	土厶卩又	CJK	9000001
阿	TeHo	阝可	CJK	9997526
陋	TeHiARnZ	阝一冂人㇗	CJK	9935292
陃	TeHiARn	阝一冂人	CJK	9000001
𢌒	TaHiARnHiARnKlu	广一冂人一冂人鹿	ExtB	100
𪣃	TuHiARn	土一冂人	ExtC	100
𡎩	TuHiARnXp	土一冂人攴	ExtB	100
陋	TeHiARnZ	阝一冂人㇗	兼容文字	100
𢈖	TaHiATu	广一冂土	ExtB	100
硬	ToHiBoX	石一日	CJK	9996602
陌	TeHiBa	阝一白	CJK	9945314
𡶾	TsHiBa	山一白	ExtB	100
𡋦	TuHiBa	土一白	ExtB	100
磚	ToHiBoGsiFc	石一日寸	CJK	9000002
塼	TuHiBoGsiFc	土一日寸	CJK	9000001
䧠	TeHiBoGsiFc	阝一日寸	ExtA	100
𪩍	TsHiBoGsiFc	山一日寸	ExtC	100
䧥	TeHiBoGsiQi	阝一日心	ExtA	100
垣	TuHiBoHi	土一日一	CJK	9961668
𡔓	TuHiBoHiBoKlu	土一日一日鹿	ExtB	100
峘	TsHiBoHi	山一日一	CJK	9766632
堰	TuHkBoNv	土匸日女	CJK	9972510
隁	TeHkBoNv	阝匸日女	CJK	9000005
𥔌	ToHkBoNv	石匸日女	ExtB	100
𡹶	TsHkBoNv	山匸日女	ExtB	100
埂	TuHiBoX	土一日	CJK	9951640
𪑛	TsHiBwXp	山一黑攵	ExtB	100
峺	TsHiBoX	山一日	CJK	9794740
研	ToHiCg	石一廾	CJK	9980194
庉	TaHiC	广一	CJK	9350430
𢈫	TaHc	广辰	ExtB	100
陙	TeHc	阝辰	CJK	9976932
崋	TsHiCF	山一艹	CJK	9927562
揅	ToHiCgFs	石一廾手	CJK	9000001
𥓨	ToHiCgFs	石一廾手	ExtB	100
岍	TsHiCg	山一廾	CJK	9753934
𢇩	TaHiCg	广一廾	ExtB	100
㕃	TcHiCg	厂一廾	ExtA	100
𨸦	TeHiCg	阝一廾	ExtB	100
硎	ToHiCgJd	石一廾刂	CJK	9940130
𡶭	TsHiCgJd	山一廾刂	ExtB	9000001
𣂟	TsHiCJn	山一斤	ExtB	100
砘	ToHiC	石一	CJK	9867264
𪿟	ToHc	石辰	ExtC	100
𥒑	ToHiCp	石一生	ExtB	100
𡶁	TsHiC	山一	ExtB	100
𡷰	TsHc	山辰	ExtB	100
坉	TuHiC	土一	CJK	9000001
䊙	ToHiCgUi	石一廾米	ExtA	100
𥒱	ToHiCgY	石一廾彡	ExtB	100
庁	TaHd	广丁	CJK	9000001
厅	TcHd	厂丁	CJK	9995782
䦺	TeHd	阝丁	ExtA	100
廲	TaHiDvHiDvKlu	广一一鹿	CJK	9794542
𡔉	TuHiDvHiDvKlu	土一一鹿	ExtB	100
𪩠	TsHiDvHiDvKlu	山一一鹿	ExtC	100
矴	ToHd	石丁	CJK	9326604
𡴵	TsHd	山丁	ExtB	100
圢	TuHd	土丁	CJK	9801958
磭	ToHcDv	石辰⺝	CJK	9762770
廈	TaHiEiL	广一自夊	CJK	9000001
巎	TsHiEiLhZsiVbL	山一自止巳八夊	CJK	9753884
厦	TcHiEiL	厂一自夊	CJK	9961786
𥔹	ToHiEiL	石一自夊	ExtB	100
𡺷	TsHiEiL	山一自夊	ExtB	100
𡏘	TuHiEiL	土一自夊	ExtB	100
嵿	TsHdEye	山丁頁	CJK	9777572
圩	TuHiF	土一	CJK	9951758
㡰	TaHiF	广一	ExtA	100
𪠑	TcHpFc	厂甫寸	ExtC	100
磗	ToHpFc	石甫寸	CJK	100
𪩉	TsHpFc	山甫寸	ExtC	100
㙛	TuHpFc	土甫寸	ExtA	100
𡏌	TuHcFc	土辰寸	ExtB	100
礓	ToHiGaHiGaHi	石一田一田一	CJK	9709306
𡺽	TsHiGsiGsiHiBo	山一厶厶一日	ExtB	100
壃	TuHiGaHiGaHi	土一田一田一	CJK	9894324
𢈤	TaHzGs	广七甲	ExtB	100
𢽠	TsHiGrXp	山一壬攵	ExtB	100
嶜	TsHrHrBo	山旡旡曰	CJK	9738294
𨹟	TeHkHiARn	阝匸一冂人	ExtB	100
𨽳	TeHrHrBoKcKc	阝旡旡曰虫虫	ExtB	100
𨼐	TeHrHrBo	阝旡旡曰	ExtB	100
䃡	ToHrHrBo	石旡旡曰	ExtA	100
𨽨	TeHrHrUli	阝旡旡鬲	ExtB	100
庑	TaHiHy	广一尢	CJK	9977090
𨺖	TeHyHy	阝尤尤	ExtB	100
𪢸	TuHiHy	土一尢	ExtC	100
嶆	TsHiIaBo	山一曲曰	CJK	9986324
𥕢	ToHiIaBo	石一曲曰	ExtB	100
𡐋	TuHiIaBo	土一曲曰	ExtB	100
𠂋	TcHi	一	ExtB	100
	TsHi	山一	私用区	1
𪪐	TaHzIx	广七文	ExtC	100
砌	ToHzJd	石七刀	CJK	9989980
厉	TcHiJd	厂一	CJK	9961552
励	TcHiJdFi	厂一力	CJK	9940534
𢊘	TaHkJsiJx	广匸矢殳	ExtB	100
碔	ToHiJyiLh	石一弋止	CJK	9799226
陚	TeHiJyiLh	阝一弋止	CJK	9000001
𪣥	TuHiJyiLh	土一弋止	ExtC	100
𫟫	TcHiJdTe	厂一阝	ExtD	100
𥓛	ToHiJgeYa	石一戈幺	ExtB	100
巵	TcHiKb	一巴	CJK	9717434
𧋰	TdHiKc	一虫	ExtB	100
𡻛	TsHiKzCi	山一隹十	ExtB	100
𥑗	ToHiKjiD	石一彑丶	ExtB	100
𡭐	TcHiKbHiBoGsiFc	一巴一日寸	ExtB	100
坘	TuHiKji	土一彑	CJK	9360112
𨸧	TeHiKji	阝一彑	ExtB	100
𧒙	TdHiKcKc	一虫虫	ExtB	100
𦓝	TcHiKbTsEh	一巴山而	ExtB	100
墕	TuHiLhHiZWu	土一止一ㄅ灬	CJK	9767458
𫐤	TaHdL	广丁辶	ExtC	100
阷	TeHiLh	阝一止	CJK	9000001
𪪎	TaHiLh	广一止	ExtC	100
𨻳	TeHiLhHiZWu	阝一止一ㄅ灬	ExtB	100
𢾷	TsHiLOXp	山一夂口攵	ExtB	100
𪣴	TuHiLhXp	土一止攵	ExtC	100
𨼆	TeHiLhXjiQi	阝一止心	ExtB	100
砞	ToHiMu	石一木	CJK	9000003
𡊉	TuHiMu	土一木	ExtB	100
陿	TeHkNrRnRn	阝匚大人人	CJK	9000002
𨹙	TeHiNrO	阝一大口	ExtB	100
𡍞	TuHiNrQi	土一大⺗	ExtB	100
𡐥	TuHiNrQv	土一大非	ExtB	100
娿	TeHoNv	阝可女	CJK	9935466
后	TcHiO	一口	CJK	9999918
𢈪	TaHuO	广五口	ExtB	100
𨻛	TeHiOAO	阝一冂口	ExtB	100
𥓠	ToHiOARn	石一口冂人	ExtB	100
𥐖	TcHiO	厂一口	ExtB	100
𨸭	TeHkO	阝匚口	ExtB	100
𫕁	TeHuO	阝五口	ExtC	100
𣢨	TcHiOEq	一口欠	ExtB	100
𠵳	TcHiOEsiXy	一口尸又	ExtB	100
劶	TcHiOFi	一口力	CJK	9000001
堛	TuHiOGa	土一口田	CJK	9890868
𨺤	TeHiOGa	阝一口田	ExtB	100
𥔁	ToHiOGa	石一口田	ExtB	100
𤎪	TuHiOGaWu	土一口田火	ExtB	100
𠵲	TcHiOHo	一口可	ExtB	100
𫕆	TeHiOIce	阝一口	ExtC	100
逅	TcHiOL	一口辶	CJK	9840892
嶇	TsHkOOO	山匸口口口	CJK	9977828
砢	ToHo	石可	CJK	9000016
𥒾	ToHuO	石五口	ExtB	100
䧢	TeHkOOO	阝匸口口口	ExtA	100
𥗄	ToHkOOOEq	石匸口口口欠	ExtB	100
𥕥	ToHkOOO	石匸口口口	ExtB	100
塸	TuHkOOO	土匸口口口	CJK	9719706
㙺	TuHkOQGb	土匚口丄貝	ExtA	100
𫕖	TeHoORjZ	阝可口亽ヿ	ExtC	100
岢	TsHo	山可	CJK	9942460
峿	TsHuO	山五口	CJK	9000001
㞹	TsHo	山可	ExtA	100
𡶅	TsHkO	山匚口	ExtB	100
𡶆	TsHkO	山匚口	ExtB	100
㚂	TuHiOSAOOCjHiYi	土一口丨冖口口一	ExtA	100
𡿝	TsHiOSAOOCjHiYi	山一口丨冖口口一	ExtB	100
𥗾	ToHiOSAOOCjHiYi	石一口丨冖口口一	ExtB	100
𠭏	TsHiOSXy	山一口丨又	ExtB	100
垕	TcHiOTu	一口土	CJK	9888530
郈	TcHiOTe	一口阝	CJK	9000107
坷	TuHo	土可	CJK	9842938
𪣔	TuHuO	土五口	ExtC	100
𪯬	TcHiOUdu	一口斗	ExtC	100
𪢈	TcHiOUiNv	一口米女	ExtC	100
𥒅	ToHiOX	石一口	ExtB	100
𨽄	TdHiOXTd	⻕一口⻕	ExtB	100
𡸪	TsHiOXv	山一口	ExtB	100
𥓟	ToHkOYj	石匚口巾	ExtB	100
埔	TuHp	土甫	CJK	9912220
庯	TaHp	广甫	CJK	9957202
㕊	TcHp	厂甫	ExtA	100
陠	TeHp	阝甫	CJK	9000022
𡵐	TsHiPj	山一九	ExtB	100
𥒰	ToHp	石甫	ExtB	100
𡵂	TsHiPp	山一几	ExtB	100
峬	TsHp	山甫	CJK	9000001
𢼸	TsHiPpXp	山一几攵	ExtB	100
𡋫	TuHiPZi	土一卩	ExtB	100
圷	TuHiQbu	土一卜	CJK	9864004
𢇗	TaHiQbu	广一卜	ExtB	100
𪨢	TsHiQbu	山一卜	ExtC	100
𨻃	TeHkQv	阝匚	ExtB	100
屼	TsHiRe	山一儿	CJK	9993880
阢	TeHiRe	阝一儿	CJK	9000294
𢇟	TaHiRe	广一儿	ExtB	100
矹	ToHiRe	石一儿	CJK	9000001
𥐵	ToHkRe	石匸儿	ExtB	100
𡵉	TsHiRe	山一儿	ExtB	100
𡋮	TuHiReSbSb	土一儿冫	ExtB	100
𪤦	TuHpRnSv	土甫人氺	ExtC	100
𣁋	TsHiReXp	山一儿攵	ExtB	100
陘	TeHiSpFg	阝一巛工	CJK	9000001
𢈝	TaHiSvD	广一氺丶	ExtB	100
𥒸	ToHiSvD	石一氺丶	ExtB	100
㟈	TsHiSvD	山一氺丶	ExtA	100
𡌋	TuHiSvD	土一氺丶	ExtB	100
硜	ToHiSpFg	石一巛工	CJK	9000005
𡷨	TsHiSpFg	山一巛工	ExtB	100
𡴶	TsHiS	山一丨	ExtB	100
𠨷	TcHiSZZ	厂一丨㇗	ExtB	100
𠂮	TcHiSZZ	一丨㇗	ExtB	100
垤	TuHgTu	土土	CJK	9801912
𥕇	ToHkTsAkX	石匚山囗乂	ExtB	100
𠮈	TaHzTvEmuXy	广七目又	ExtB	100
𥓫	ToHgTuJd	石土刂	ExtB	100
𡵤	TsHiTs	山一山	ExtB	100
厔	TcHgTu	厂土	CJK	9912946
庢	TaHgTu	广土	CJK	9982364
𥒓	ToHgTu	石土	ExtB	100
峌	TsHgTu	山土	CJK	9000001
𪪘	TaHiTyi	广一邑	ExtC	100
𥐳	ToHu	石五	ExtB	100
埡	TuHiWh	土一	CJK	9859348
𣣾	TcHiWhEq	厂一欠	ExtB	100
垭	TuHiWh	土一业	CJK	9929502
䃁	ToHiWh	石一	ExtA	100
𡹄	TsHiWh	山一	ExtB	100
陈	TeHzWi	阝小	CJK	9996876
岽	TsHzWi	山小	CJK	9848716
𪣆	TuHzWi	土小	ExtC	100
𪨷	TsHiWuTc	山一厂	ExtC	100
𣤼	TiHiWhWhEq	士一欠	ExtB	100
崨	TsHiXjiLh	山一龰	CJK	9352682
𨸟	TeHkX	阝匸㐅	ExtB	100
𢈻	TaHiXjiLh	广一龰	ExtB	100
𨺇	TeHiXjiLh	阝一龰	ExtB	100
𥓐	ToHiXjiLh	石一龰	ExtB	100
𡹈	TsHiXjiLh	山一龰	ExtB	100
𨹷	TeHiXvNv	阝一肀女	ExtB	100
䃀	ToHiXvNv	石一肀女	ExtA	100
𨼼	TeHoXzNzZ	阝可爫子乚	ExtB	100
𥐰	ToHkX	石匸㐅	ExtB	100
岖	TsHkX	山匸㐅	CJK	9000845
𡉋	TuHiX	土一	ExtB	100
𠬡	TcHiXy	厂一又	ExtB	100
師	TdHiYj	一巾	CJK	9936566
𢇨	TaHiYa	广一幺	ExtB	100
㕄	TcHiYa	厂一幺	ExtA	100
𨸞	TeHiYa	阝一幺	ExtB	100
𥐺	ToHiYa	石一幺	ExtB	100
𡵮	TsHiYa	山一幺	ExtB	100
𡉬	TuHiYa	土一幺	ExtB	100
砸	ToHkYj	石匚巾	CJK	9992732
𪪌	TaHiYj	广一巾	ExtC	100
𨸲	TeHiYj	阝一巾	ExtB	100
𧏍	TdHiYjKc	一巾虫	ExtB	100
𪄜	TdHiYjKi	一巾鳥	ExtB	100
𪪀	TdHiYjLhUbiMu	一巾止匕木	ExtC	100
𡠋	TdHiYjNv	一巾女	ExtB	100
𥐶	ToHy	石尤	ExtB	100
𡵔	TsHy	山尤	ExtB	100
𡵈	TsHy	山尢	ExtB	100
隬	TeHiYv	阝一	CJK	9000001
㞃	TvHy	谷尤	ExtA	100
𢾰	TsHiYsXp	山一糸攵	ExtB	100
𨻋	TeHiYaYaTu	阝一幺幺土	ExtB	100
𡏀	TuHiYaYaTu	土一幺幺土	ExtB	100
卮	TcHiZi	一⺋	CJK	9940532
𦚌	TcHiZyiDv	一乙月	ExtB	100
𨸑	TeHiZ	阝一ㄅ	ExtB	100
屿	TsHiZHi	山一ㄅ一	CJK	9947332
𨓂	TsHiZHiL	山一ㄅ一辶	ExtB	100
𠃃	TcHiZiHp	一⺋甫	ExtB	100
𠨗	TcHiZi	一	ExtB	100
𩿭	TsHiZKi	山一ㄅ鳥	ExtB	100
𥓼	ToHkZMu	石匚コ木	ExtB	100
𥑭	ToHkZ	石匚コ	ExtB	100
𡹪	TsHiZOXyHi	山一ㄅ口又一	ExtB	100
岠	TsHkZ	山匚コ	CJK	9000001
𦓚	TcHiZsiTsEh	一巳山而	ExtB	100
𦓚	TcHiZsiTsEh	一巳山而	兼容增补	100
𠃘	TcHiZyi	一乙	ExtB	100
𢁺	TcHiZyiYj	一乙巾	ExtB	100
𠂰	TcHiZyiYj	一乙巾	ExtB	100
士	Ti	士	CJK	9993090
⼠	Ti	士	康熙部首	100
磅	ToIvAIf	石冖方	CJK	9979574
𢈺	TaIa	广㐭	ExtB	100
墑	TuIvACiO	土冂十口	CJK	9739766
𫕒	TeIvACiO	阝冂十口	ExtC	100
𥖾	ToIvACiOL	石冂十口辶	ExtB	100
𥕐	ToIvACiO	石冂十口	ExtB	100
㠃	TsIvACiO	山冂十口	ExtA	100
𡐁	TuIvADh	土冖且	ExtB	100
塝	TuIvAIf	土冖方	CJK	9000001
䧛	TeIvAIf	阝冖方	ExtA	100
嵭	TsIvAIf	山冖方	CJK	9000001
墒	TuIvAvO	土口	CJK	9948584
𪨰	TsIa	山曲	ExtC	100
𣍂	TvIa	谷曲	ExtB	100
碲	ToIvAYj	石冖巾	CJK	9915166
崹	TsIvAYj	山冖巾	CJK	9352676
𨼨	TeIvAYjZj	阝冖巾己	ExtB	100
壇	TuIaBoHi	土㐭日一	CJK	9956450
𢉩	TaIb	广音	ExtB	100
隌	TeIb	阝音	CJK	9000001
𢋃	TaIaBoHi	广㐭日一	ExtB	100
䃪	ToIaBoHi	石㐭日一	ExtA	100
𡔋	TuIoBoKyXp	土日羊攴	ExtB	100
𡓑	TuIoBoKy	土日⺸	ExtB	100
峕	TsIBo	山亠日	CJK	9000001
巐	TsIoBoPCg	山高日丿廾	CJK	9000001
𡺞	TsIb	山音	ExtB	100
𡺈	TsIb	山音	ExtB	100
堷	TuIb	土音	CJK	9000001
障	TeIbCi	阝音十	CJK	9961100
嶂	TsIbCi	山音十	CJK	9924140
㢓	TaIbCi	广音十	ExtA	100
𥕞	ToIbCi	石音十	ExtB	100
墇	TuIbCi	土音十	CJK	9000001
𥑬	ToIce	石册	ExtB	100
𡷌	TsIce	山	ExtB	100
𪨪	TsIce	山册	ExtC	100
𡊢	TuIce	土册	ExtB	100
碘	ToIceCv	石	CJK	9976720
𠩷	TcIceCv	厂	ExtB	100
𨹻	TeIceCv	阝	ExtB	100
㙉	TuIceCv	土	ExtA	100
𪠙	TcIhDvHy	厂立⺝尤	ExtC	100
𡐴	TuIaDv	土㐭⺼	ExtB	100
䃴	ToIiElBo	石言耂日	ExtA	100
𨻕	TeIxEe	阝文耳	ExtB	100
𥕁	ToIxEe	石文耳	ExtB	100
𡐒	TuIoEm	土毛	ExtB	100
𡒡	TuIzuEp	土壴皮	ExtB	100
𢋆	TaIbEq	广音欠	ExtB	100
𠪗	TcIiEq	厂言欠	ExtB	100
𩓁	TuIfEye	土方頁	ExtB	100
防	TeIf	阝方	CJK	9994304
廚	TaIzuFc	广壴寸	CJK	9777246
㕑	TcIzuFc	厂壴寸	ExtA	9000001
坊	TuIf	土方	CJK	9985928
墥	TuIhGaTu	土立田土	CJK	9719688
𡍠	TuIGaHi	土亠田一	ExtB	100
䃥	ToIhGaTu	石立田土	ExtA	100
㠉	TsIhGaTu	山立田土	ExtA	100
𫝟	TuIGaTu	土亠田土	ExtD	100
砬	ToIh	石立	CJK	9799238
㡴	TaIh	广立	ExtA	100
嶩	TsIaHc	山曲辰	CJK	9000001
㕇	TcIh	厂立	ExtA	100
䃩	ToIaHc	石曲辰	ExtA	100
碠	ToIoHd	石丁	CJK	9000001
𨺱	TeIoHd	阝丁	ExtB	100
𨺊	TeIoHd	阝丁	ExtB	100
嵉	TsIoHd	山丁	CJK	9777574
𡺣	TsIoHd	山丁	ExtB	100
𪣹	TuIoHd	土丁	ExtC	100
嵜	TsIvHo	山可	CJK	9352664
𥔎	ToIvHo	石可	ExtB	100
﨑	TsIvHo	山可	兼容文字	100
岦	TsIh	山立	CJK	9000001
𡶧	TsIh	山立	ExtB	100
垃	TuIh	土立	CJK	9819016
訔	TsIi	山言	CJK	9000035
㢇	TaIi	广言	ExtA	100
䂴	ToIi	石言	ExtA	100
𨼁	TeIfIfTu	阝方方土	ExtB	100
𡑌	TuIbJge	土音	ExtB	100
壕	TuIoKsi	土豕	CJK	9971462
𪁢	TeIfKi	阝方鳥	ExtB	100
𡿣	TsIiKtuKtu	山言㲋兔	ExtB	100
䧫	TeIoKsi	阝豕	ExtA	100
㠙	TsIoKsi	山豕	ExtA	100
𢌓	TaIoKyTyi	广高邑	ExtB	100
𢉊	TaIhL	广立廴	ExtB	100
𥗒	ToIhMuEr	石立木見	ExtB	100
墩	TuIoNzXp	土子攵	CJK	9990172
廓	TaIoNzTe	广子阝	CJK	9947680
墎	TuIoNzTe	土子阝	CJK	9719704
廓	TaIoNzTe	广子阝	兼容文字	100
𥕖	ToIoNzTe	石子阝	ExtB	100
𡻙	TsIoNzTe	山子阝	ExtB	100
𡻳	TsIoNzTe	山子阝	ExtB	100
𨼻	TeIqNv	阝女	ExtB	100
𨽘	TeIqNv	阝齊女	ExtB	100
礅	ToIoNzXp	石子攵	CJK	9805584
崞	TsIoNz	山子	CJK	9854214
𠩭	TcIoNz	厂子	ExtB	100
䧐	TeIoNz	阝子	ExtA	100
埻	TuIoNz	土子	CJK	9000001
陪	TeIhO	阝立口	CJK	9995204
𡾘	TsIoOCi	山口十	ExtB	100
𡓣	TuIoOCi	土口十	ExtB	100
䃷	ToIzODvNvPd	石亡口月女凡	ExtA	100
䧚	TeIo	阝高	ExtA	100
𨼩	TeIzuO	阝壴口	ExtB	100
